run_id,timestamp,distance_km,sigma_r,sigma_s,R,Gamma,N_samples,mean_r,std_r,min_r,max_r,mean_Ti,std_Ti,min_Ti,max_Ti,T_eff
20260501_224536,2026-05-01 22:45:36,19.0000000000,99.4650019182,70.3323773471,0.4256987375,2.0000026122,200000,88.0790176033,46.1087003957,0.2386739165,350.3441131568,0.0000007992,0.0000863464,0.0000000000,0.0217922049,0.0000007992
20260501_224536,2026-05-01 22:45:36,5.0000000000,26.1750895029,18.5085832857,0.1250597542,2.0071753536,60000,23.0810875537,12.0812742350,0.0537409593,92.6712727658,0.0000170534,0.0020334536,0.0000000000,0.3305717684,0.0000170534
20260501_224536,2026-05-01 22:45:36,5.0000000000,26.1750895029,18.5085832857,0.1250597542,2.0071753536,1,9.3113480854,0.0000000000,9.3113480854,9.3113480854,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,5.0000000000,26.1750895029,18.5085832857,0.1250597542,2.0071753536,60000,23.1218870212,12.0960729438,0.1446704607,78.3490465614,0.0000090913,0.0009229351,0.0000000000,0.1854511146,0.0000090913
20260501_224536,2026-05-01 22:45:36,5.0000000000,26.1750895029,18.5085832857,0.1250597542,2.0071753536,1,44.2290029533,0.0000000000,44.2290029533,44.2290029533,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,41.3289954652,29.2240129531,0.1840290968,2.0004971475,60000,36.6384259726,19.1241820916,0.1383406846,130.1828384761,0.0000088053,0.0009030429,0.0000000000,0.1377661558,0.0000088053
20260501_224536,2026-05-01 22:45:36,7.8947368421,41.3289954652,29.2240129531,0.1840290968,2.0004971475,1,42.6097231020,0.0000000000,42.6097231020,42.6097231020,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,7.8947368421,41.3289954652,29.2240129531,0.1840290968,2.0004971475,60000,36.6887784383,19.0831551629,0.0233618560,130.6953857120,0.0000077053,0.0009304307,0.0000000000,0.1812757220,0.0000077053
20260501_224536,2026-05-01 22:45:36,7.8947368421,41.3289954652,29.2240129531,0.1840290968,2.0004971475,1,10.7239997559,0.0000000000,10.7239997559,10.7239997559,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224536,2026-05-01 22:45:36,10.7894736842,56.4829220738,39.9394572196,0.2459757384,2.0000773334,60000,50.0516594660,26.1246458029,0.3346602775,183.3285324339,0.0000030978,0.0002660604,0.0000000000,0.0403340202,0.0000030978
20260501_224537,2026-05-01 22:45:37,10.7894736842,56.4829220738,39.9394572196,0.2459757384,2.0000773334,1,27.2913767636,0.0000000000,27.2913767636,27.2913767636,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,10.7894736842,56.4829220738,39.9394572196,0.2459757384,2.0000773334,60000,50.1213702178,26.1523718465,0.2882229836,197.7653052239,0.0000012995,0.0002172714,0.0000000000,0.0512257608,0.0000012995
20260501_224537,2026-05-01 22:45:37,10.7894736842,56.4829220738,39.9394572196,0.2459757384,2.0000773334,1,90.7322789659,0.0000000000,90.7322789659,90.7322789659,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,71.6368568441,50.6549072574,0.3089569746,2.0000186627,60000,63.2984123757,33.1918720628,0.2078319498,224.9845901382,0.0000023707,0.0002714390,0.0000000000,0.0481278373,0.0000023707
20260501_224537,2026-05-01 22:45:37,13.6842105263,71.6368568441,50.6549072574,0.3089569746,2.0000186627,1,23.8119371057,0.0000000000,23.8119371057,23.8119371057,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,13.6842105263,71.6368568441,50.6549072574,0.3089569746,2.0000186627,60000,63.2719228243,33.1653593592,0.1867093336,232.6051459787,0.0000034735,0.0003251306,0.0000000000,0.0502752946,0.0000034735
20260501_224537,2026-05-01 22:45:37,13.6842105263,71.6368568441,50.6549072574,0.3089569746,2.0000186627,1,65.2985455552,0.0000000000,65.2985455552,65.2985455552,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,16.5789473684,86.7907960110,61.3703604040,0.3724172688,2.0000059129,60000,77.0566893593,40.3168222250,0.3289727200,285.5286992006,0.0000014843,0.0001611675,0.0000000000,0.0252444786,0.0000014843
20260501_224537,2026-05-01 22:45:37,16.5789473684,86.7907960110,61.3703604040,0.3724172688,2.0000059129,1,28.9258816337,0.0000000000,28.9258816337,28.9258816337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20260501_224537,2026-05-01 22:45:37,16.5789473684,86.7907960110,61.3703604040,0.3724172688,2.0000059129,60000,76.6717298534,40.0575721589,0.3029516638,271.1904876194,0.0000009092,0.0001386964,0.0000000000,0.0267861917,0.0000009092
