run_id,timestamp,distance_km,visibility_km,lambda_nm,xi_km_inv,loss_db_per_km,L_link_km,eta_atm,loss_total_db,eta_sys,eta_geo,T0
20260501_224536,2026-05-01 22:45:36,19.0000000000,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,19.0000000000,0.1447386037,60.9735122615,1.0000000000,0.0310421114,0.0310421114
20260501_224536,2026-05-01 22:45:36,5.0000000000,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,5.0000000000,0.6013137742,47.6818954602,1.0000000000,0.3631131728,0.3631131728
20260501_224536,2026-05-01 22:45:36,5.0000000000,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,5.0000000000,0.6013137742,inf,1.0000000000,0.3631131728,0.3631131728
20260501_224536,2026-05-01 22:45:36,5.0000000000,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,5.0000000000,0.6013137742,50.4137554227,1.0000000000,0.3631131728,0.3631131728
20260501_224536,2026-05-01 22:45:36,5.0000000000,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,5.0000000000,0.6013137742,inf,1.0000000000,0.3631131728,0.3631131728
20260501_224536,2026-05-01 22:45:36,7.8947368421,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,7.8947368421,0.4479322644,50.5525812340,1.0000000000,0.1664356119,0.1664356119
20260501_224536,2026-05-01 22:45:36,7.8947368421,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,7.8947368421,0.4479322644,inf,1.0000000000,0.1664356119,0.1664356119
20260501_224536,2026-05-01 22:45:36,7.8947368421,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,7.8947368421,0.4479322644,51.1321235869,1.0000000000,0.1664356119,0.1664356119
20260501_224536,2026-05-01 22:45:36,7.8947368421,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,7.8947368421,0.4479322644,inf,1.0000000000,0.1664356119,0.1664356119
20260501_224536,2026-05-01 22:45:36,10.7894736842,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,10.7894736842,0.3336749001,55.0894624740,1.0000000000,0.0930307072,0.0930307072
20260501_224537,2026-05-01 22:45:37,10.7894736842,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,10.7894736842,0.3336749001,inf,1.0000000000,0.0930307072,0.0930307072
20260501_224537,2026-05-01 22:45:37,10.7894736842,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,10.7894736842,0.3336749001,58.8621274983,1.0000000000,0.0930307072,0.0930307072
20260501_224537,2026-05-01 22:45:37,10.7894736842,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,10.7894736842,0.3336749001,inf,1.0000000000,0.0930307072,0.0930307072
20260501_224537,2026-05-01 22:45:37,13.6842105263,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,13.6842105263,0.2485619987,56.2512694283,1.0000000000,0.0589446735,0.0589446735
20260501_224537,2026-05-01 22:45:37,13.6842105263,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,13.6842105263,0.2485619987,inf,1.0000000000,0.0589446735,0.0589446735
20260501_224537,2026-05-01 22:45:37,13.6842105263,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,13.6842105263,0.2485619987,54.5923680058,1.0000000000,0.0589446735,0.0589446735
20260501_224537,2026-05-01 22:45:37,13.6842105263,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,13.6842105263,0.2485619987,inf,1.0000000000,0.0589446735,0.0589446735
20260501_224537,2026-05-01 22:45:37,16.5789473684,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,16.5789473684,0.1851594687,58.2847804693,1.0000000000,0.0405620184,0.0405620184
20260501_224537,2026-05-01 22:45:37,16.5789473684,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,16.5789473684,0.1851594687,inf,1.0000000000,0.0405620184,0.0405620184
20260501_224537,2026-05-01 22:45:37,16.5789473684,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,16.5789473684,0.1851594687,60.4133327335,1.0000000000,0.0405620184,0.0405620184
20260501_224537,2026-05-01 22:45:37,16.5789473684,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,16.5789473684,0.1851594687,inf,1.0000000000,0.0405620184,0.0405620184
20260501_224537,2026-05-01 22:45:37,19.4736842105,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,19.4736842105,0.1379294865,60.2399743811,1.0000000000,0.0295735731,0.0295735731
20260501_224537,2026-05-01 22:45:37,19.4736842105,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,19.4736842105,0.1379294865,inf,1.0000000000,0.0295735731,0.0295735731
20260501_224537,2026-05-01 22:45:37,19.4736842105,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,19.4736842105,0.1379294865,63.1137426036,1.0000000000,0.0295735731,0.0295735731
20260501_224537,2026-05-01 22:45:37,19.4736842105,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,19.4736842105,0.1379294865,inf,1.0000000000,0.0295735731,0.0295735731
20260501_224537,2026-05-01 22:45:37,22.3684210526,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,22.3684210526,0.1027468019,64.0272742379,1.0000000000,0.0224992913,0.0224992913
20260501_224537,2026-05-01 22:45:37,22.3684210526,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,22.3684210526,0.1027468019,inf,1.0000000000,0.0224992913,0.0224992913
20260501_224537,2026-05-01 22:45:37,22.3684210526,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,22.3684210526,0.1027468019,62.7067991588,1.0000000000,0.0224992913,0.0224992913
20260501_224538,2026-05-01 22:45:38,22.3684210526,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,22.3684210526,0.1027468019,inf,1.0000000000,0.0224992913,0.0224992913
20260501_224538,2026-05-01 22:45:38,25.2631578947,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,25.2631578947,0.0765384224,63.3375239107,1.0000000000,0.0176837562,0.0176837562
20260501_224538,2026-05-01 22:45:38,25.2631578947,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,25.2631578947,0.0765384224,inf,1.0000000000,0.0176837562,0.0176837562
20260501_224538,2026-05-01 22:45:38,25.2631578947,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,25.2631578947,0.0765384224,66.0702175307,1.0000000000,0.0176837562,0.0176837562
20260501_224538,2026-05-01 22:45:38,25.2631578947,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,25.2631578947,0.0765384224,inf,1.0000000000,0.0176837562,0.0176837562
20260501_224538,2026-05-01 22:45:38,28.1578947368,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,28.1578947368,0.0570152062,66.8323009455,1.0000000000,0.0142605385,0.0142605385
20260501_224538,2026-05-01 22:45:38,28.1578947368,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,28.1578947368,0.0570152062,inf,1.0000000000,0.0142605385,0.0142605385
20260501_224538,2026-05-01 22:45:38,28.1578947368,10.0000000000,1550.0000000000,0.1017276788,0.4417976955,28.1578947368,0.0570152062,65.8314327504,1.0000000000,0.0142605385,0.0142605385
